Code,Weight score,Begin,End
Soldering\Station\off,0,00:00.0,00:04.0
Soldering\Station\on,0,00:04.0,03:36.1
Soldering\Board\Reposition,0,00:14.2,00:15.8
Soldering\Hands\Reposition,0,00:15.9,00:19.2
Soldering\Board\Reposition,0,00:19.0,00:22.0
Soldering\Part\Reposition,0,00:20.5,00:22.4
Soldering\Glasses\interaction,0,00:22.1,00:25.9
Soldering\Board\Secure,0,00:28.8,00:29.3
Soldering\Board\Flip,0,00:29.4,00:30.9
Soldering\Board\Reposition,0,00:33.6,00:35.5
Soldering\Solderer\Probe,0,00:34.1,00:39.8
Soldering\Solder\Reposition,0,00:35.5,00:39.1
Soldering\Board\Secure,0,00:39.7,00:40.5
Soldering\Iron\Grab,0,00:40.5,00:42.0
Soldering\Station\Clean\Steel Wool,0,00:41.9,00:42.8
Soldering\Solderer\Probe,0,00:43.9,00:46.6
Soldering\Iron\Solder Joint\Tack,0,00:46.7,00:51.3
Soldering\Iron\Solder Joint\Tack,0,00:51.4,01:01.4
Soldering\Station\Clean\Steel Wool,0,01:01.6,01:02.5
Soldering\Station\Store,0,01:02.5,01:03.1
Soldering\Solderer\Inspect,0,01:03.0,01:12.8
Soldering\Iron\Grab,0,01:12.7,01:13.4
Soldering\Solderer\?,0,01:13.4,01:21.5
Soldering\Station\Store,0,01:15.6,01:16.5
Soldering\Iron\Grab,0,01:21.4,01:22.6
Soldering\Iron\Solder Joint\Joint,0,01:22.7,01:28.0
Soldering\Iron\Solder Joint\RythmicJoint,7,01:28.0,01:49.4
Soldering\Solderer\Inspect,0,01:49.5,01:50.9
Soldering\Station\Clean\Steel Wool,0,01:50.9,01:51.7
Soldering\Solderer\Probe,0,01:51.7,01:53.0
Soldering\Solder\Reposition,0,01:53.3,01:54.9
Soldering\Solderer\Probe,0,01:55.0,01:59.8
Soldering\Iron\Solder Joint\RythmicJoint,4,01:59.7,02:14.3
Soldering\Station\Clean\Steel Wool,0,02:14.4,02:15.3
Soldering\Solderer\Inspect,0,02:15.3,02:17.5
Soldering\Board\Reposition,0,02:18.9,02:26.9
Soldering\Iron\Solder Joint\RythmicJoint,3,02:26.9,02:39.5
Soldering\Station\Clean\Steel Wool,0,02:39.5,02:40.1
Soldering\Solderer\Probe,0,02:40.2,02:41.5
Soldering\Solder\Reposition,0,02:41.4,02:43.4
Soldering\Solderer\Probe,0,02:43.4,02:46.3
Soldering\Solder\Tin,0,02:46.1,02:48.0
Soldering\Iron\Solder Joint\RythmicJoint,8,02:48.0,03:19.2
Soldering\Station\Clean\Steel Wool,0,03:19.2,03:20.5
Soldering\Station\Store,0,03:20.6,03:21.6
Soldering\Solderer\Inspect,0,03:21.0,03:31.5
Soldering\Solderer\Cheer,0,03:31.5,03:34.1
Soldering\Station\off,0,03:36.0,03:38.5
