Document name,Code,Begin,End
kevin,Soldering\Station\Off,00:00:00.0,00:00:04.0
kevin,Soldering\Station\On,00:00:04.0,00:03:36.1
kevin,Soldering\Board\Reposition,00:00:14.2,00:00:15.8
kevin,Soldering\Hands\Reposition,00:00:15.9,00:00:19.2
kevin,Soldering\Board\Reposition,00:00:19.0,00:00:22.0
kevin,Soldering\Component\Reposition,00:00:20.5,00:00:22.4
kevin,Soldering\Glasses\Interaction,00:00:22.1,00:00:25.9
kevin,Soldering\Board\Secure,00:00:28.8,00:00:29.3
kevin,Soldering\Board\Flip,00:00:29.4,00:00:30.9
kevin,Soldering\Board\Reposition,00:00:33.6,00:00:35.5
kevin,Soldering\Solderer\Decision-Making\Probe,00:00:34.1,00:00:39.8
kevin,Soldering\Solder\Reposition,00:00:35.5,00:00:39.1
kevin,Soldering\Board\Secure,00:00:39.7,00:00:40.5
kevin,Soldering\Iron\Grab,00:00:40.5,00:00:42.0
kevin,Soldering\Station\Clean\Steel Wool,00:00:41.9,00:00:42.8
kevin,Soldering\Solderer\Decision-Making\Probe,00:00:43.9,00:00:46.6
kevin,Soldering\Iron\Solder Joint\Tack,00:00:46.7,00:00:51.3
kevin,Soldering\Iron\Solder Joint\Tack,00:00:51.4,00:01:01.4
kevin,Soldering\Station\Clean\Steel Wool,00:01:01.6,00:01:02.5
kevin,Soldering\Station\Store,00:01:02.5,00:01:03.1
kevin,Soldering\Solderer\Decision-Making\Inspect,00:01:03.0,00:01:12.8
kevin,Soldering\Iron\Grab,00:01:12.7,00:01:13.4
kevin,Soldering\Solderer\Decision-Making,00:01:13.4,00:01:21.5
kevin,Soldering\Station\Store,00:01:15.6,00:01:16.5
kevin,Soldering\Iron\Grab,00:01:21.4,00:01:22.6
kevin,Soldering\Iron\Solder Joint\Joint,00:01:22.7,00:01:28.0
kevin,Soldering\Iron\Solder Joint\RythmicJoint,00:01:28.0,00:01:49.4
kevin,Soldering\Solderer\Decision-Making\Inspect,00:01:49.5,00:01:50.9
kevin,Soldering\Station\Clean\Steel Wool,00:01:50.9,00:01:51.7
kevin,Soldering\Solderer\Decision-Making\Probe,00:01:51.7,00:01:53.0
kevin,Soldering\Solder\Reposition,00:01:53.3,00:01:54.9
kevin,Soldering\Solderer\Decision-Making\Probe,00:01:55.0,00:01:59.8
kevin,Soldering\Iron\Solder Joint\RythmicJoint,00:01:59.7,00:02:14.3
kevin,Soldering\Station\Clean\Steel Wool,00:02:14.4,00:02:15.3
kevin,Soldering\Solderer\Decision-Making\Inspect,00:02:15.3,00:02:17.5
kevin,Soldering\Board\Reposition,00:02:18.9,00:02:26.9
kevin,Soldering\Iron\Solder Joint\RythmicJoint,00:02:26.9,00:02:39.5
kevin,Soldering\Station\Clean\Steel Wool,00:02:39.5,00:02:40.1
kevin,Soldering\Solderer\Decision-Making\Probe,00:02:40.2,00:02:41.5
kevin,Soldering\Solder\Reposition,00:02:41.4,00:02:43.4
kevin,Soldering\Solderer\Decision-Making\Probe,00:02:43.4,00:02:46.3
kevin,Soldering\Solder\Tin,00:02:46.1,00:02:48.0
kevin,Soldering\Iron\Solder Joint\RythmicJoint,00:02:48.0,00:03:19.2
kevin,Soldering\Station\Clean\Steel Wool,00:03:19.2,00:03:20.5
kevin,Soldering\Station\Store,00:03:20.6,00:03:21.6
kevin,Soldering\Solderer\Decision-Making\Inspect,00:03:21.0,00:03:31.5
